es,se,v,fse,fv
.18901668,.26129508,.068275116,.22617476,.051155023
-.1216005,.26095527,.068097658,.22617476,.051155023
.15718736,.35403836,.12534316,.26387575,.069630407
.12725699,.35387135,.12522493,.26387575,.069630407
-.22346616,.18960118,.035948608,.1935733,.03747062
1.1967518,.16912064,.02860179,.22510678,.05067306
.703592,.14419436,.020792015,.22510678,.05067306
.30983868,.13216151,.017466666,.22510678,.05067306
.85722029,.1509643,.022790221,.22510678,.05067306
1.3142323,.17623863,.031060053,.22510678,.05067306
.39181715,.1926906,.037129667,.28472826,.081070185
.23026222,.18814066,.035396907,.28472826,.081070185
-.15969799,.18687555,.034922473,.28472826,.081070185
-.49023569,.19653599,.038626395,.28472826,.081070185
.25254565,.18863298,.035582401,.28472826,.081070185
.37266731,.15035957,.022608001,.17808905,.03171571
.088643,.1491444,.022244051,.17808905,.03171571
.19725746,.14943328,.022330306,.17808905,.03171571
.15791661,.14930336,.022291495,.17808905,.03171571
-.22634715,.14954777,.022364536,.17808905,.03171571
.039924901,.21696708,.047074713,.20569278,.042309523
.7113654,.22849329,.052209184,.30549484,.093327098
.55678266,.21937443,.04812514,.30549484,.093327098
.68788689,.20711641,.042897206,.19867305,.039470986
.08126536,.20758386,.043091059,.20145187,.040582854
.16978279,.20787144,.043210533,.20145187,.040582854
.27327621,.20219925,.040884536,.19867305,.039470986
.25338587,.18246539,.03329362,.27798289,.077274494
.65911049,.19815384,.039264943,.27798289,.077274494
.20724675,.18452422,.034049191,.28126335,.07910908
.1386047,.18344896,.03365352,.28126335,.07910908
-.045660671,.1796989,.032291695,.27798289,.077274494
-.50440949,.19068758,.036361754,.27798289,.077274494
.074251115,.18282565,.033425219,.28126335,.07910908
-.11855231,.18321456,.033567574,.28126335,.07910908
.47591388,.14631677,.021408597,.23462275,.055047832
.16538198,.151783,.02303808,.24700896,.06101343
-.26835698,.14114965,.019923225,.23462275,.055047832
-.26361844,.15335248,.023516985,.24700896,.06101343
-.16244483,.23725212,.056288566,.34208739,.11702378
.42242104,.15915619,.025330693,.24882767,.061915204
1.2325182,.48782942,.23797753,.3279407,.10754511
.31222856,.44993019,.20243718,.3279407,.10754511
1.610685,.51464325,.26485768,.3279407,.10754511
-1.380537,.4976415,.24764706,.3279407,.10754511
.99666107,.4328523,.18736111,.30549484,.093327098
.4324778,.20124783,.040500689,.29228103,.085428201
1.2658722,.22063889,.048681516,.26143739,.068349503
.47263989,.20677879,.04275747,.29640958,.087858632
.30986351,.2007685,.040307991,.29640958,.087858632
.54890978,.28528112,.081385322,.23598978,.055691179
.37267798,.15035965,.022608023,.17808905,.03171571
.15950619,.14930806,.022292895,.17808905,.03171571
.0679534,.24086647,.058016654,.21671182,.046964012
.50520182,.2446072,.059832681,.21671182,.046964012
-.028829414,.17278266,.029853847,.21671182,.046964012
-.076241367,.11267217,.012695016,.20936574,.043834016
-.047245558,.18908766,.035754144,.28839448,.083171375
-.18257418,.18408935,.033888888,.28126335,.07910908
-.082478613,.18930337,.035835765,.28839448,.083171375
-.091287091,.18295415,.033472221,.28126335,.07910908
.041239306,.18906257,.035744652,.28839448,.083171375
.50207901,.1937388,.037534725,.28126335,.07910908
.43128347,.2357136,.055560902,.21092735,.044490345
.55261916,.3163304,.10006493,.25169298,.063349359
-.51225936,.31551087,.09954711,.25169298,.063349359
-.14873731,.21983185,.048326045,.20686516,.042793196
-.23255184,.32990745,.10883892,.26143739,.068349503
1.7383834,.31749937,.10080585,.23077728,.053258151
-.16733338,.15011109,.02253334,.24525851,.060151733
.57126296,.23718993,.056259066,.21282215,.045293268
.46479034,.2356135,.055513717,.21282215,.045293268
-.0676976,.10011451,.010022915,.19823886,.039298646
-.065739878,.097233474,.0094543481,.19578788,.038332894
-.06637346,.098166004,.0096365642,.19657679,.038642433
-.0676976,.10011451,.010022915,.19823886,.039298646
.18203956,.27572978,.076026909,.23329972,.05442876
.34439903,.27171603,.073829599,.23077728,.053258151
